p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.2 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.75 1.16e-05 2.416e-08 0.9999772 1.12e-05 4.942256274616245e-12
0.2 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.8500000000000001 1.2e-05 2.208e-08 0.9999744 1.36e-05 5.4494122808397695e-12
0.2 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.0 0.0 0.0 0.19479999999999995 0.8051999999999997 0.0
0.25 0.5 0.05 0.0 0.0 0.9999012 9.879999999999999e-05 0.0
0.25 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.4 2.4399999999999997e-05 7.856000000000001e-08 0.9999296 4.6e-05 1.3158811899088011e-11
0.25 0.5 0.45 1.6e-06 1.5999999999999996e-09 0.9999924 6e-06 5.78766364458948e-13
0.25 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.55 0.00016999999999999999 9.4192e-07 0.9996596 0.0001704 9.141614448462079e-11
0.25 0.5 0.6000000000000001 0.00031800000000000003 1.70192e-06 0.9994284 0.00025360000000000004 9.577947745947761e-11
0.25 0.5 0.65 0.0 0.0 0.9999992 8.000000000000001e-07 0.0
0.25 0.5 0.7000000000000001 0.0 0.0 0.9999964 3.6e-06 0.0
0.25 0.5 0.75 3.88e-05 9.711999999999999e-08 0.9999276 3.3600000000000004e-05 1.1091013277221986e-11
0.25 0.5 0.8 0.0010396000000000001 1.8051679999999997e-05 0.9983044 0.000656 9.939829275036433e-10
