p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.2 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.2 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.2 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.0 0.0 0.0 0.18319999999999992 0.8168000000000002 0.0
0.25 0.5 0.05 0.0 0.0 0.9999088 9.120000000000001e-05 0.0
0.25 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.15000000000000002 0.0 0.0 0.9999996 4.0000000000000003e-07 0.0
0.25 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.25 0.5 0.35000000000000003 0.0 0.0 0.999996 4e-06 0.0
0.25 0.5 0.4 6.52e-05 1.7263999999999996e-07 0.9998504 8.44e-05 1.649818015343423e-11
0.25 0.5 0.45 2.8000000000000003e-05 7.775999999999999e-08 0.9999256000000001 4.6399999999999996e-05 1.0555126304027468e-11
0.25 0.5 0.5 0.0 0.0 0.9999964 3.6e-06 0.0
0.25 0.5 0.55 0.00026080000000000005 1.4358400000000001e-06 0.9994883999999999 0.00025079999999999997 9.594147860717045e-11
0.25 0.5 0.6000000000000001 0.0001204 4.664e-07 0.99976 0.0001196 4.1799429463154975e-11
0.25 0.5 0.65 2.4e-06 2.8799999999999996e-09 0.9999896 8e-06 8.12140398617033e-13
0.25 0.5 0.7000000000000001 0.0006248 5.15616e-06 0.9989224 0.00045279999999999995 2.6174027922766335e-10
0.25 0.5 0.75 0.0007124 5.0648e-06 0.9988248 0.0004628 2.4611660393147745e-10
0.25 0.5 0.8 0.00038639999999999996 3.13088e-06 0.9993804000000001 0.00023320000000000003 2.31058862871992e-10
