phi_0 variance
0.0 0.059221631911429706
0.013157894736842105 0.059315777900998685
0.02631578947368421 0.05773808931281212
0.039473684210526314 0.05618362771678772
0.05263157894736842 0.05439874677778381
0.06578947368421052 0.04931572915004614
0.07894736842105263 0.03339622442096778
0.09210526315789473 0.024371898463053474
0.10526315789473684 0.00999740938586862
0.11842105263157894 0.0007688703413460604
0.13157894736842105 0.00025442592071291126
0.14473684210526316 0.00010069699783372271
0.15789473684210525 3.130675863147192e-05
0.17105263157894735 1.3443540030959322e-05
0.18421052631578946 5.759869971332099e-06
0.19736842105263158 4.093889354211955e-06
0.21052631578947367 2.899194607233757e-06
0.22368421052631576 2.5168188343346887e-06
0.23684210526315788 1.9779659923835347e-06
0.25 1.2080627582039538e-06
