method T M E
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.0 225.0 -25200.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 223.0 -25192.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 221.0 -25188.0
 glauber 1.1 225.0 -25200.0
 glauber 1.1 225.0 -25200.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 223.0 -25192.0
 glauber 1.2000000000000002 223.0 -25192.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 225.0 -25200.0
 glauber 1.2000000000000002 223.0 -25192.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 223.0 -25192.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.3000000000000003 221.0 -25188.0
 glauber 1.3000000000000003 225.0 -25200.0
 glauber 1.4000000000000004 225.0 -25200.0
 glauber 1.4000000000000004 223.0 -25192.0
 glauber 1.4000000000000004 225.0 -25200.0
 glauber 1.4000000000000004 221.0 -25184.0
 glauber 1.4000000000000004 223.0 -25192.0
 glauber 1.4000000000000004 221.0 -25184.0
 glauber 1.4000000000000004 223.0 -25192.0
 glauber 1.4000000000000004 225.0 -25200.0
 glauber 1.4000000000000004 221.0 -25184.0
 glauber 1.4000000000000004 223.0 -25192.0
 glauber 1.5000000000000004 225.0 -25200.0
 glauber 1.5000000000000004 219.0 -25176.0
 glauber 1.5000000000000004 219.0 -25176.0
 glauber 1.5000000000000004 223.0 -25192.0
 glauber 1.5000000000000004 223.0 -25192.0
 glauber 1.5000000000000004 225.0 -25200.0
 glauber 1.5000000000000004 219.0 -25176.0
 glauber 1.5000000000000004 225.0 -25200.0
 glauber 1.5000000000000004 221.0 -25184.0
 glauber 1.5000000000000004 221.0 -25184.0
 glauber 1.6000000000000005 221.0 -24308.0
 glauber 1.6000000000000005 225.0 -24324.0
 glauber 1.6000000000000005 221.0 -24312.0
 glauber 1.6000000000000005 217.0 -24296.0
 glauber 1.6000000000000005 213.0 -24276.0
 glauber 1.6000000000000005 225.0 -24324.0
 glauber 1.6000000000000005 223.0 -24316.0
 glauber 1.6000000000000005 221.0 -24308.0
 glauber 1.6000000000000005 223.0 -24316.0
 glauber 1.6000000000000005 225.0 -24324.0
 glauber 1.7000000000000006 213.0 -22572.0
 glauber 1.7000000000000006 223.0 -22600.0
 glauber 1.7000000000000006 221.0 -22596.0
 glauber 1.7000000000000006 219.0 -22584.0
 glauber 1.7000000000000006 225.0 -22608.0
 glauber 1.7000000000000006 215.0 -22576.0
 glauber 1.7000000000000006 221.0 -22592.0
 glauber 1.7000000000000006 225.0 -22608.0
 glauber 1.7000000000000006 223.0 -22600.0
 glauber 1.7000000000000006 213.0 -22572.0
 glauber 1.8000000000000007 211.0 -22148.0
 glauber 1.8000000000000007 217.0 -22160.0
 glauber 1.8000000000000007 213.0 -22152.0
 glauber 1.8000000000000007 219.0 -22168.0
 glauber 1.8000000000000007 223.0 -22184.0
 glauber 1.8000000000000007 219.0 -22168.0
 glauber 1.8000000000000007 223.0 -22184.0
 glauber 1.8000000000000007 221.0 -22176.0
 glauber 1.8000000000000007 221.0 -22176.0
 glauber 1.8000000000000007 223.0 -22184.0
 glauber 1.9000000000000008 211.0 -22148.0
 glauber 1.9000000000000008 193.0 -22104.0
 glauber 1.9000000000000008 211.0 -22144.0
 glauber 1.9000000000000008 213.0 -22152.0
 glauber 1.9000000000000008 215.0 -22152.0
 glauber 1.9000000000000008 215.0 -22156.0
 glauber 1.9000000000000008 209.0 -22144.0
 glauber 1.9000000000000008 201.0 -22112.0
 glauber 1.9000000000000008 219.0 -22168.0
 glauber 1.9000000000000008 207.0 -22140.0
 glauber 2.000000000000001 207.0 -21312.0
 glauber 2.000000000000001 199.0 -21300.0
 glauber 2.000000000000001 197.0 -21296.0
 glauber 2.000000000000001 213.0 -21324.0
