method T M E
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 112.0
 kawasaki 1.0 1 116.0
 kawasaki 1.0 1 116.0
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 104.0
 kawasaki 1.0 1 104.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 108.0
 kawasaki 1.0 1 104.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 116.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 112.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 104.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 96.0
 kawasaki 1.0 1 100.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 92.0
 kawasaki 1.0 1 92.0
 kawasaki 1.1 1 112.0
 kawasaki 1.1 1 116.0
 kawasaki 1.1 1 108.0
 kawasaki 1.1 1 112.0
 kawasaki 1.1 1 124.0
 kawasaki 1.1 1 116.0
 kawasaki 1.1 1 120.0
 kawasaki 1.1 1 116.0
 kawasaki 1.1 1 108.0
 kawasaki 1.1 1 112.0
 kawasaki 1.1 1 116.0
 kawasaki 1.1 1 120.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 104.0
 kawasaki 1.1 1 108.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 108.0
 kawasaki 1.1 1 104.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 96.0
 kawasaki 1.1 1 96.0
 kawasaki 1.1 1 96.0
 kawasaki 1.1 1 104.0
 kawasaki 1.1 1 112.0
 kawasaki 1.1 1 104.0
 kawasaki 1.1 1 96.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 96.0
 kawasaki 1.1 1 88.0
 kawasaki 1.1 1 84.0
 kawasaki 1.1 1 84.0
 kawasaki 1.1 1 92.0
 kawasaki 1.1 1 84.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 92.0
 kawasaki 1.1 1 92.0
 kawasaki 1.1 1 100.0
 kawasaki 1.1 1 88.0
 kawasaki 1.1 1 92.0
 kawasaki 1.1 1 88.0
 kawasaki 1.1 1 84.0
 kawasaki 1.1 1 80.0
 kawasaki 1.1 1 80.0
 kawasaki 1.1 1 80.0
 kawasaki 1.1 1 80.0
 kawasaki 1.1 1 72.0
 kawasaki 1.1 1 76.0
 kawasaki 1.1 1 80.0
 kawasaki 1.1 1 84.0
 kawasaki 1.1 1 72.0
 kawasaki 1.2000000000000002 1 112
 kawasaki 1.2000000000000002 1 108.0
 kawasaki 1.2000000000000002 1 112.0
 kawasaki 1.2000000000000002 1 112.0
 kawasaki 1.2000000000000002 1 120.0
 kawasaki 1.2000000000000002 1 96.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 104.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 104.0
 kawasaki 1.2000000000000002 1 108.0
 kawasaki 1.2000000000000002 1 104.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 108.0
 kawasaki 1.2000000000000002 1 92.0
 kawasaki 1.2000000000000002 1 84.0
 kawasaki 1.2000000000000002 1 92.0
 kawasaki 1.2000000000000002 1 96.0
 kawasaki 1.2000000000000002 1 96.0
 kawasaki 1.2000000000000002 1 104.0
 kawasaki 1.2000000000000002 1 112.0
 kawasaki 1.2000000000000002 1 112.0
 kawasaki 1.2000000000000002 1 104.0
 kawasaki 1.2000000000000002 1 92.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 112.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 112.0
 kawasaki 1.2000000000000002 1 108.0
 kawasaki 1.2000000000000002 1 96.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 100.0
 kawasaki 1.2000000000000002 1 88.0
 kawasaki 1.2000000000000002 1 92.0
 kawasaki 1.2000000000000002 1 92.0
 kawasaki 1.2000000000000002 1 96.0
 kawasaki 1.2000000000000002 1 96.0
 kawasaki 1.2000000000000002 1 80.0
 kawasaki 1.2000000000000002 1 72.0
 kawasaki 1.2000000000000002 1 76.0
 kawasaki 1.2000000000000002 1 72.0
 kawasaki 1.2000000000000002 1 84.0
 kawasaki 1.2000000000000002 1 80.0
 kawasaki 1.2000000000000002 1 80.0
 kawasaki 1.2000000000000002 1 84.0
 kawasaki 1.2000000000000002 1 76.0
 kawasaki 1.2000000000000002 1 68.0
 kawasaki 1.2000000000000002 1 68.0
 kawasaki 1.2000000000000002 1 68.0
 kawasaki 1.2000000000000002 1 72.0
 kawasaki 1.2000000000000002 1 68.0
 kawasaki 1.3000000000000003 1 112
 kawasaki 1.3000000000000003 1 104.0
 kawasaki 1.3000000000000003 1 100.0
 kawasaki 1.3000000000000003 1 116.0
 kawasaki 1.3000000000000003 1 100.0
 kawasaki 1.3000000000000003 1 108.0
 kawasaki 1.3000000000000003 1 112.0
 kawasaki 1.3000000000000003 1 104.0
 kawasaki 1.3000000000000003 1 132.0
 kawasaki 1.3000000000000003 1 104.0
 kawasaki 1.3000000000000003 1 92.0
 kawasaki 1.3000000000000003 1 112.0
 kawasaki 1.3000000000000003 1 112.0
 kawasaki 1.3000000000000003 1 108.0
 kawasaki 1.3000000000000003 1 100.0
 kawasaki 1.3000000000000003 1 96.0
 kawasaki 1.3000000000000003 1 88.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 104.0
 kawasaki 1.3000000000000003 1 104.0
 kawasaki 1.3000000000000003 1 100.0
 kawasaki 1.3000000000000003 1 72.0
 kawasaki 1.3000000000000003 1 84.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 84.0
 kawasaki 1.3000000000000003 1 64.0
 kawasaki 1.3000000000000003 1 72.0
 kawasaki 1.3000000000000003 1 92.0
 kawasaki 1.3000000000000003 1 92.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 72.0
 kawasaki 1.3000000000000003 1 68.0
 kawasaki 1.3000000000000003 1 96.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 76.0
 kawasaki 1.3000000000000003 1 84.0
 kawasaki 1.3000000000000003 1 72.0
 kawasaki 1.3000000000000003 1 88.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 76.0
 kawasaki 1.3000000000000003 1 80.0
 kawasaki 1.3000000000000003 1 68.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 124.0
 kawasaki 1.4000000000000004 1 128.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 128.0
 kawasaki 1.4000000000000004 1 104.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 108.0
 kawasaki 1.4000000000000004 1 124.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 124.0
 kawasaki 1.4000000000000004 1 112.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 100.0
 kawasaki 1.4000000000000004 1 108.0
 kawasaki 1.4000000000000004 1 104.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 128.0
 kawasaki 1.4000000000000004 1 120.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 132.0
 kawasaki 1.4000000000000004 1 136.0
 kawasaki 1.4000000000000004 1 128.0
 kawasaki 1.4000000000000004 1 112.0
 kawasaki 1.4000000000000004 1 112.0
 kawasaki 1.4000000000000004 1 104.0
 kawasaki 1.4000000000000004 1 104.0
 kawasaki 1.4000000000000004 1 112.0
 kawasaki 1.4000000000000004 1 100.0
 kawasaki 1.4000000000000004 1 116.0
 kawasaki 1.4000000000000004 1 104.0
 kawasaki 1.4000000000000004 1 92.0
 kawasaki 1.4000000000000004 1 96.0
 kawasaki 1.4000000000000004 1 88.0
 kawasaki 1.4000000000000004 1 104.0
 kawasaki 1.4000000000000004 1 88.0
 kawasaki 1.4000000000000004 1 80.0
 kawasaki 1.4000000000000004 1 80.0
 kawasaki 1.4000000000000004 1 76.0
 kawasaki 1.4000000000000004 1 80.0
 kawasaki 1.4000000000000004 1 96.0
 kawasaki 1.5000000000000004 1 140.0
 kawasaki 1.5000000000000004 1 140.0
 kawasaki 1.5000000000000004 1 116.0
 kawasaki 1.5000000000000004 1 112.0
 kawasaki 1.5000000000000004 1 96.0
 kawasaki 1.5000000000000004 1 112.0
 kawasaki 1.5000000000000004 1 108.0
 kawasaki 1.5000000000000004 1 92.0
 kawasaki 1.5000000000000004 1 104.0
 kawasaki 1.5000000000000004 1 104.0
 kawasaki 1.5000000000000004 1 104.0
 kawasaki 1.5000000000000004 1 112.0
 kawasaki 1.5000000000000004 1 96.0
 kawasaki 1.5000000000000004 1 100.0
 kawasaki 1.5000000000000004 1 116.0
 kawasaki 1.5000000000000004 1 100.0
 kawasaki 1.5000000000000004 1 112.0
 kawasaki 1.5000000000000004 1 76.0
 kawasaki 1.5000000000000004 1 92.0
 kawasaki 1.5000000000000004 1 80.0
 kawasaki 1.5000000000000004 1 76.0
 kawasaki 1.5000000000000004 1 100.0
 kawasaki 1.5000000000000004 1 96.0
 kawasaki 1.5000000000000004 1 76.0
 kawasaki 1.5000000000000004 1 92.0
 kawasaki 1.5000000000000004 1 92.0
 kawasaki 1.5000000000000004 1 92.0
 kawasaki 1.5000000000000004 1 88.0
 kawasaki 1.5000000000000004 1 96.0
 kawasaki 1.5000000000000004 1 100.0
 kawasaki 1.5000000000000004 1 100.0
 kawasaki 1.5000000000000004 1 88.0
 kawasaki 1.5000000000000004 1 112.0
 kawasaki 1.5000000000000004 1 68.0
 kawasaki 1.5000000000000004 1 76.0
 kawasaki 1.5000000000000004 1 60.0
 kawasaki 1.5000000000000004 1 60.0
 kawasaki 1.5000000000000004 1 72.0
 kawasaki 1.5000000000000004 1 52.0
 kawasaki 1.5000000000000004 1 60.0
 kawasaki 1.5000000000000004 1 44.0
 kawasaki 1.5000000000000004 1 36.0
 kawasaki 1.5000000000000004 1 40.0
 kawasaki 1.5000000000000004 1 48.0
 kawasaki 1.5000000000000004 1 44.0
 kawasaki 1.5000000000000004 1 60.0
 kawasaki 1.5000000000000004 1 20.0
 kawasaki 1.5000000000000004 1 44.0
 kawasaki 1.5000000000000004 1 32.0
 kawasaki 1.5000000000000004 1 32.0
 kawasaki 1.5000000000000004 1 40.0
 kawasaki 1.5000000000000004 1 32.0
 kawasaki 1.5000000000000004 1 36.0
 kawasaki 1.6000000000000005 1 140.0
 kawasaki 1.6000000000000005 1 124.0
 kawasaki 1.6000000000000005 1 100.0
 kawasaki 1.6000000000000005 1 116.0
 kawasaki 1.6000000000000005 1 124.0
 kawasaki 1.6000000000000005 1 128.0
 kawasaki 1.6000000000000005 1 108.0
 kawasaki 1.6000000000000005 1 120.0
 kawasaki 1.6000000000000005 1 100.0
 kawasaki 1.6000000000000005 1 104.0
 kawasaki 1.6000000000000005 1 124.0
 kawasaki 1.6000000000000005 1 96.0
 kawasaki 1.6000000000000005 1 92.0
 kawasaki 1.6000000000000005 1 108.0
 kawasaki 1.6000000000000005 1 92.0
 kawasaki 1.6000000000000005 1 100.0
 kawasaki 1.6000000000000005 1 96.0
 kawasaki 1.6000000000000005 1 100.0
 kawasaki 1.6000000000000005 1 140.0
 kawasaki 1.6000000000000005 1 120.0
 kawasaki 1.6000000000000005 1 88.0
 kawasaki 1.6000000000000005 1 76.0
 kawasaki 1.6000000000000005 1 88.0
