method T M E
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 894.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 894.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 906.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 846.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 894.0
 kawasaki 1.0 -12 906.0
 kawasaki 1.0 -12 894.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 894.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 882.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 886.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 850.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 846.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 870.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 878.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 854.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.0 -12 858.0
 kawasaki 1.0 -12 874.0
 kawasaki 1.0 -12 866.0
 kawasaki 1.0 -12 862.0
 kawasaki 1.1 -12 1178
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1206.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1206.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1146.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1146.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1206.0
 kawasaki 1.1 -12 1210.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1174.0
