method T M E
 kawasaki 1.0 8 88053990.0
 kawasaki 1.0 8 88606406.0
 kawasaki 1.0 8 88878102.0
 kawasaki 1.0 8 89426374.0
 kawasaki 1.0 8 89700778.0
 kawasaki 1.0 8 89975578.0
 kawasaki 1.0 8 90799034.0
 kawasaki 1.0 8 91074638.0
 kawasaki 1.0 8 91351146.0
 kawasaki 1.0 8 92458802.0
 kawasaki 1.0 8 93281190.0
 kawasaki 1.0 8 93555010.0
 kawasaki 1.0 8 93830466.0
 kawasaki 1.0 8 94106278.0
 kawasaki 1.0 8 94929502.0
 kawasaki 1.0 8 95201858.0
 kawasaki 1.0 8 95476390.0
 kawasaki 1.0 8 95750134.0
 kawasaki 1.0 8 98230694.0
 kawasaki 1.0 8 98504838.0
 kawasaki 1.0 8 99055030.0
 kawasaki 1.0 8 99606210.0
 kawasaki 1.0 8 101266154.0
 kawasaki 1.0 8 101820942.0
 kawasaki 1.0 8 102641942.0
 kawasaki 1.0 8 104018310.0
 kawasaki 1.0 8 104294674.0
 kawasaki 1.0 8 104847466.0
 kawasaki 1.0 8 105396670.0
 kawasaki 1.0 8 105945650.0
 kawasaki 1.0 8 106221514.0
 kawasaki 1.0 8 106770350.0
 kawasaki 1.0 8 107588150.0
 kawasaki 1.0 8 108139222.0
 kawasaki 1.0 8 108688330.0
 kawasaki 1.0 8 108966746.0
 kawasaki 1.0 8 109515114.0
 kawasaki 1.0 8 110337422.0
 kawasaki 1.0 8 111705962.0
 kawasaki 1.0 8 112255938.0
 kawasaki 1.0 8 113079802.0
 kawasaki 1.0 8 113355706.0
 kawasaki 1.0 8 114179118.0
 kawasaki 1.0 8 114728494.0
 kawasaki 1.0 8 115005362.0
 kawasaki 1.0 8 115282866.0
 kawasaki 1.0 8 115827926.0
 kawasaki 1.0 8 116378110.0
 kawasaki 1.0 8 116651086.0
 kawasaki 1.0 8 117470226.0
 kawasaki 1.0 8 118573258.0
 kawasaki 1.0 8 119122042.0
 kawasaki 1.0 8 119395002.0
 kawasaki 1.0 8 120770974.0
 kawasaki 1.0 8 121873910.0
 kawasaki 1.0 8 122149798.0
 kawasaki 1.0 8 122697262.0
 kawasaki 1.0 8 123242018.0
 kawasaki 1.0 8 123517838.0
 kawasaki 1.0 8 123793162.0
 kawasaki 1.0 8 125162210.0
 kawasaki 1.0 8 125978750.0
 kawasaki 1.0 8 126531022.0
 kawasaki 1.0 8 127355250.0
 kawasaki 1.0 8 129011474.0
 kawasaki 1.0 8 129836570.0
 kawasaki 1.0 8 130392598.0
 kawasaki 1.0 8 130942606.0
 kawasaki 1.0 8 131217598.0
 kawasaki 1.0 8 131492494.0
 kawasaki 1.0 8 131768678.0
 kawasaki 1.0 8 132048998.0
 kawasaki 1.0 8 132321266.0
 kawasaki 1.0 8 132870438.0
 kawasaki 1.0 8 133147082.0
 kawasaki 1.0 8 134237966.0
 kawasaki 1.0 8 134783426.0
 kawasaki 1.0 8 135059622.0
 kawasaki 1.0 8 135335906.0
 kawasaki 1.0 8 135885470.0
 kawasaki 1.0 8 136160298.0
 kawasaki 1.0 8 136709654.0
 kawasaki 1.0 8 136983718.0
 kawasaki 1.0 8 137259538.0
 kawasaki 1.0 8 137812378.0
 kawasaki 1.0 8 138086118.0
 kawasaki 1.0 8 138363682.0
 kawasaki 1.0 8 138638254.0
 kawasaki 1.0 8 138910214.0
 kawasaki 1.0 8 139731590.0
 kawasaki 1.0 8 140006322.0
 kawasaki 1.0 8 140555410.0
 kawasaki 1.0 8 141104846.0
 kawasaki 1.0 8 141925230.0
 kawasaki 1.0 8 142473478.0
 kawasaki 1.0 8 143022650.0
 kawasaki 1.0 8 143570534.0
 kawasaki 1.0 8 143844646.0
 kawasaki 1.0 8 144942726.0
 kawasaki 1.0 8 145767182.0
 kawasaki 1.0 8 146863850.0
 kawasaki 1.0 8 147409626.0
 kawasaki 1.0 8 147686882.0
 kawasaki 1.0 8 147959222.0
 kawasaki 1.0 8 148507938.0
 kawasaki 1.0 8 149055562.0
 kawasaki 1.0 8 149330530.0
 kawasaki 1.0 8 149604438.0
 kawasaki 1.0 8 150148342.0
 kawasaki 1.0 8 150697082.0
 kawasaki 1.0 8 151245318.0
 kawasaki 1.0 8 152343366.0
 kawasaki 1.0 8 153444290.0
 kawasaki 1.0 8 153719058.0
 kawasaki 1.0 8 155093982.0
 kawasaki 1.0 8 155372882.0
 kawasaki 1.0 8 155646650.0
 kawasaki 1.0 8 156189846.0
 kawasaki 1.0 8 156740390.0
 kawasaki 1.0 8 157015258.0
 kawasaki 1.0 8 157288846.0
 kawasaki 1.0 8 158929610.0
 kawasaki 1.0 8 159483550.0
 kawasaki 1.0 8 160314386.0
 kawasaki 1.0 8 160588926.0
 kawasaki 1.0 8 161408538.0
 kawasaki 1.0 8 162505014.0
 kawasaki 1.0 8 163880490.0
 kawasaki 1.0 8 164155282.0
 kawasaki 1.0 8 164432706.0
 kawasaki 1.0 8 165261786.0
 kawasaki 1.0 8 166081394.0
 kawasaki 1.0 8 167179862.0
 kawasaki 1.0 8 167457102.0
 kawasaki 1.0 8 168557954.0
 kawasaki 1.0 8 168833486.0
 kawasaki 1.0 8 169656490.0
 kawasaki 1.0 8 170754846.0
 kawasaki 1.0 8 171030438.0
 kawasaki 1.0 8 172134262.0
 kawasaki 1.0 8 173508914.0
 kawasaki 1.0 8 174057102.0
 kawasaki 1.0 8 174885138.0
 kawasaki 1.0 8 175159990.0
 kawasaki 1.0 8 175435058.0
 kawasaki 1.0 8 175987682.0
 kawasaki 1.0 8 176261610.0
 kawasaki 1.0 8 176538286.0
 kawasaki 1.0 8 177635654.0
 kawasaki 1.0 8 178999834.0
 kawasaki 1.0 8 179548250.0
 kawasaki 1.0 8 179821614.0
 kawasaki 1.0 8 180095866.0
 kawasaki 1.0 8 180646138.0
 kawasaki 1.0 8 182839238.0
 kawasaki 1.0 8 183113002.0
 kawasaki 1.0 8 183939126.0
 kawasaki 1.0 8 184214430.0
 kawasaki 1.0 8 184490502.0
 kawasaki 1.0 8 186414070.0
 kawasaki 1.0 8 186962866.0
 kawasaki 1.0 8 187788494.0
 kawasaki 1.0 8 188066278.0
 kawasaki 1.0 8 189162526.0
 kawasaki 1.0 8 189437458.0
 kawasaki 1.0 8 189709270.0
 kawasaki 1.0 8 189983862.0
 kawasaki 1.0 8 190529506.0
 kawasaki 1.0 8 191078522.0
 kawasaki 1.0 8 191904994.0
 kawasaki 1.0 8 192453654.0
 kawasaki 1.0 8 192999362.0
 kawasaki 1.0 8 193555058.0
 kawasaki 1.0 8 194100014.0
 kawasaki 1.0 8 194925926.0
 kawasaki 1.0 8 195200658.0
 kawasaki 1.0 8 195476426.0
 kawasaki 1.0 8 196020734.0
 kawasaki 1.0 8 196294682.0
 kawasaki 1.0 8 196842666.0
 kawasaki 1.0 8 197670686.0
 kawasaki 1.0 8 197946538.0
 kawasaki 1.0 8 198773994.0
 kawasaki 1.0 8 199046494.0
 kawasaki 1.0 8 199324594.0
 kawasaki 1.0 8 199600934.0
 kawasaki 1.0 8 199879658.0
 kawasaki 1.0 8 200150354.0
 kawasaki 1.0 8 200425218.0
 kawasaki 1.0 8 200697926.0
 kawasaki 1.0 8 200973962.0
 kawasaki 1.0 8 201249226.0
 kawasaki 1.0 8 202077010.0
 kawasaki 1.0 8 202900918.0
 kawasaki 1.0 8 203723806.0
 kawasaki 1.0 8 204000122.0
 kawasaki 1.0 8 204818262.0
 kawasaki 1.0 8 205093034.0
 kawasaki 1.0 8 205918402.0
 kawasaki 1.0 8 206468142.0
 kawasaki 1.0 8 207018886.0
 kawasaki 1.0 8 208117890.0
 kawasaki 1.0 8 209493690.0
 kawasaki 1.0 8 209767090.0
 kawasaki 1.0 8 210041690.0
 kawasaki 1.0 8 210597370.0
 kawasaki 1.0 8 211142806.0
 kawasaki 1.0 8 211417658.0
 kawasaki 1.0 8 211967514.0
 kawasaki 1.0 8 212243070.0
 kawasaki 1.0 8 213067406.0
 kawasaki 1.0 8 213888678.0
 kawasaki 1.0 8 214714530.0
 kawasaki 1.0 8 216086346.0
 kawasaki 1.0 8 216359974.0
 kawasaki 1.0 8 217182978.0
 kawasaki 1.0 8 217460150.0
 kawasaki 1.0 8 217733258.0
 kawasaki 1.0 8 218007706.0
 kawasaki 1.0 8 218557442.0
 kawasaki 1.0 8 219110602.0
 kawasaki 1.0 8 221036986.0
 kawasaki 1.0 8 221309086.0
 kawasaki 1.0 8 221580198.0
 kawasaki 1.0 8 222402626.0
 kawasaki 1.0 8 223496138.0
 kawasaki 1.0 8 223772342.0
 kawasaki 1.0 8 224323606.0
 kawasaki 1.0 8 224600590.0
 kawasaki 1.0 8 224874858.0
 kawasaki 1.0 8 225151378.0
 kawasaki 1.0 8 225425962.0
 kawasaki 1.0 8 225699930.0
 kawasaki 1.0 8 225973182.0
 kawasaki 1.0 8 226248662.0
 kawasaki 1.0 8 226791062.0
 kawasaki 1.0 8 227065582.0
 kawasaki 1.0 8 227888770.0
 kawasaki 1.0 8 228988306.0
 kawasaki 1.0 8 229264402.0
 kawasaki 1.0 8 229539918.0
 kawasaki 1.0 8 230362598.0
 kawasaki 1.0 8 232005982.0
 kawasaki 1.0 8 232281970.0
 kawasaki 1.0 8 232556198.0
 kawasaki 1.0 8 232830530.0
 kawasaki 1.0 8 233104406.0
 kawasaki 1.0 8 233652330.0
 kawasaki 1.0 8 233928994.0
 kawasaki 1.0 8 234478582.0
 kawasaki 1.0 8 235295470.0
 kawasaki 1.0 8 236117550.0
 kawasaki 1.0 8 236669882.0
 kawasaki 1.0 8 237494322.0
 kawasaki 1.0 8 237770914.0
 kawasaki 1.0 8 238045354.0
 kawasaki 1.0 8 238317958.0
 kawasaki 1.0 8 238596498.0
 kawasaki 1.0 8 238872098.0
 kawasaki 1.0 8 239147570.0
 kawasaki 1.0 8 239420170.0
 kawasaki 1.0 8 239694610.0
 kawasaki 1.0 8 239970442.0
 kawasaki 1.0 8 240244242.0
 kawasaki 1.0 8 240516834.0
 kawasaki 1.0 8 240786490.0
 kawasaki 1.0 8 241059474.0
 kawasaki 1.0 8 241873058.0
 kawasaki 1.0 8 242143942.0
 kawasaki 1.0 8 242417294.0
